sequence_a	sequence_b	rnadist	software
AY492773.1_807-858	AY358038.1_1284-1335	0	locarna
Z97090.1_19-102	AY134958.1_65-148	0	locarna
AF484479.1_59-142	U29412.1_65-149	0	locarna
AJ536614.1_206-152	AJ005321.1_281-333	4	locarna
AY451211.1_146-229	AY463225.1_303-386	0	locarna
AP002998.2_95169-95056	AF269819.1_1816-1718	33	locarna
X04465.1_48845-48932	J01399.1_2867-2939	41	locarna
AP000988.1_199418-199133	X17238.1_12-306	37	locarna
AF024190.1_120-171	M73480.1_3-54	0	locarna
AL445564.1_265255-265358	AP005276.1_73231-73124	40	locarna
AE014913.1_8949-8849	AD000014.1_41361-41472	1	locarna
U32832.1_9495-9319	AP003189.2_159236-159062	13	locarna
D45875.1_1-238	AF134759.1_1-181	40	locarna
AP004826.1_205532-205707	AF306669.1_1019-1194	122	locarna
AB057616.1_1720-1756	D14484.1_9318-9354	0	locarna
X15929.1_1-194	X56322.1_513-709	10	locarna
Y00055.1_4327-4494	M63701.1_247-415	2	locarna
AE004193.1_5679-5861	AE006126.1_222-48	4	locarna
AY302545.1_7315-7435	AY302549.1_7306-7426	0	locarna
X01016.1_450-523	X15246.1_271-344	1	locarna
X53444.1_72-144	AJ002222.1_720-791	0	locarna
AJ286134.1_55-106	L11757.1_1284-1335	0	locarna
U10409.1_2025-2178	AF223066.1_5881-6030	0	locarna
AE009471.1_6144-5974	AE017152.1_157588-157680	58	locarna
M22656.1_587-656	X52392.1_6573-6508	10	locarna
D31972.1_1-309	L34371.1_1-279	52	locarna
AY302550.1_7303-7424	AY302539.1_7289-7410	0	locarna
M76569.1_4-118	X02627.1_4-118	5	locarna
AF146728.1_1429-1480	AF349321.1_33-84	0	locarna
M35394.1_1-119	AE000559.1_152-269	11	locarna
AP000058.1_196062-195789	M21085.1_9-299	56	locarna
AY007788.1_537-679	X06475.1_589-783	93	locarna
AE004386.1_8370-8441	M20945.1_1-72	0	locarna
AB074055.1_1347-1398	AF023953.1_90-141	0	locarna
AC005311.3_17031-17335	AC005662.3_47366-47062	56	locarna
L25918.1_1-181	X00093.1_360-550	49	locarna
AF418495.1_65-148	U29265.1_65-148	1	locarna
X01557.1_3-118	X02235.1_3-118	0	locarna
AY037273.1_8735-8791	AF290030.1_456-512	0	locarna
AY371152.1_1284-1335	AY037268.1_1290-1341	0	locarna
AY181081.1_46-97	M27323.1_1623-1674	0	locarna
AF442568.1_8945-9001	AF196726.1_454-510	0	locarna
AF418332.1_65-148	AB078707.1_65-148	1	locarna
X15245.1_36-152	M10202.1_3-117	19	locarna
AY038237.1_65-148	Z79533.1_65-148	0	locarna
D37858.1_1040-1076	AF009070.1_31-67	0	locarna
AE010545.1_3397-3317	U32770.1_3645-3566	7	locarna
U64312.1_2271-2374	AE017166.1_115998-115896	34	locarna
D86530.1_983-1033	D86536.1_983-1033	0	locarna
M26978.1_1192-1264	X15240.1_604-676	2	locarna
X61068.1_760-831	AF490529.1_2769-2701	0	locarna
X04465.1_29596-29669	J04502.1_2903-2830	2	locarna
AY288872.1_65-148	Z79568.1_65-148	0	locarna
AF254681.1_513-611	AF254715.1_518-616	0	locarna
X03701.1_3-119	X13037.1_1-119	28	locarna
M34759.1_7-109	M33893.1_2-111	55	locarna
AF170176.1_1092-1207	AF051555.1_130-236	6	locarna
L38342.1_1-288	AY446047.1_1-273	36	locarna
AB080299.1_9318-9354	D49771.1_1041-1076	0	locarna
M58235.1_744-800	U72138.1_317-373	0	locarna
AL646057.1_132458-132357	AE004009.1_105-203	0	locarna
L37451.1_4-118	K02354.1_1-118	21	locarna
X61067.1_133-205	V00676.1_400-335	8	locarna
AE016922.1_90941-90851	AL646074.1_141686-141809	4	locarna
Z50060.1_3-119	L08503.1_3-117	1	locarna
AF024271.1_120-171	AF069673.1_1284-1335	0	locarna
AE007614.1_6196-6300	U36379.1_1-106	13	locarna
X02044.1_4-118	X02024.1_3-117	5	locarna
Z99110.2_31833-31941	M73546.1_221-329	0	locarna
U92049.1_1281-1332	AB074069.1_1344-1395	0	locarna
X54300.1_29-102	J01435.1_2804-2867	24	locarna
X04465.1_4746-4826	M68929.1_49817-49892	39	locarna
AY190422.1_1-181	Z36521.1_1-205	52	locarna
K02688.1_1-115	M11538.1_4-116	22	locarna
S76009.1_35-113	AE001187.1_2891-2802	25	locarna
J01888.1_1-119	X02253.1_3-118	5	locarna
AF091512.1_37281-37352	AE009855.1_3683-3767	1	locarna
AJ130737.1_1761-1840	AF029891.1_9161-9235	8	locarna
AF532927.1_678-740	X12367.1_703-764	16	locarna
M86495.1_1026-1092	AC002341.3_6810-6881	0	locarna
D49776.1_1041-1076	Y13184.1_9268-9304	0	locarna
U37576.1_709-734	X14215.1_817-842	0	locarna
AF036754.1_91-138	D87492.1_743-788	0	locarna
X55339.1_30-104	V01556.1_306-238	8	locarna
X71973.1_730-791	AY119185.1_838-902	5	locarna
AY358069.1_1281-1332	AY165264.1_240-291	0	locarna
AF319664.1_1334-1447	AB018545.1_1858-1971	0	locarna
M20949.1_1-72	X52070.1_777-849	0	locarna
J01390.1_6449-6519	X07375.1_305-376	0	locarna
BX640423.1_313922-313811	AE017257.1_202839-202737	31	locarna
AE007651.1_7649-7751	U32782.1_8310-8397	8	locarna
AE015936.1_222874-222760	AE017266.1_253092-253204	77	locarna
J03294.1_2297-2476	AE010489.1_2647-2468	29	locarna
AF134751.1_1-181	L38347.1_1-288	104	locarna
M16530.1_8-123	K02687.1_1-115	15	locarna
AF254716.1_529-627	L28860.1_453-551	0	locarna
AF024244.1_90-141	AF349390.1_33-84	0	locarna
AY139491.1_35-118	AB081748.1_65-148	0	locarna
M59827.1_771-934	AC004546.1_16021-16184	17	locarna
AJ286134.1_55-106	U29411.1_1299-1350	0	locarna
AY165215.1_142-193	AY165197.1_238-289	0	locarna
K02528.1_1-74	AE000043.2_8839-8769	0	locarna
X13558.1_186-115	AF164586.1_1190-1126	8	locarna
AF017899.1_10-93	AB034899.1_65-148	0	locarna
X00190.1_1-118	X06834.1_1-119	0	locarna
AP005032.1_102129-102235	AE017232.1_187112-187234	9	locarna
AY190382.1_1-181	AY190409.1_1-181	133	locarna
AF024236.1_120-171	AY535768.1_171-222	0	locarna
M21373.1_208-280	X14848.1_3824-3891	12	locarna
AF004885.1_318-401	AF069670.1_61-144	0	locarna
AY070176.1_1-277	AF055305.1_1-239	249	locarna
D14420.1_2-291	AY145911.1_1-213	41	locarna
M76573.1_4-118	M76576.1_4-118	3	locarna
BX321858.1_81804-81577	AE016787.1_55358-55152	98	locarna
AY173957.1_8891-8947	AY047305.1_454-510	0	locarna
AE006699.1_3409-3482	K02456.1_141-212	26	locarna
CR543861.1_1990073-1989965	BX640439.1_206443-206535	28	locarna
Z35950.1_5070-5141	AE008829.1_931-842	2	locarna
AP005345.1_54245-54147	U32782.1_8310-8397	4	locarna
X14848.1_1-67	J04815.1_7401-7469	0	locarna
AE012210.1_6050-5969	AE011751.1_9538-9457	0	locarna
AB021174.1_1-299	Z29107.1_1-302	113	locarna
AB057610.1_1528-1593	AF054264.1_191-256	0	locarna
X07772.1_25-50	X05620.1_58-83	0	locarna
L34373.1_1-279	AY344018.1_1-341	0	locarna
AF121472.1_65-148	AF110973.1_344-427	0	locarna
X03924.1_17-83	M17129.1_151-222	5	locarna
AY173959.1_1198-1249	AF119820.1_2110-2161	0	locarna
U39706.1_5918-5836	D00560.1_67-145	7	locarna
AF081485.1_4369-4429	K01392.1_4435-4495	0	locarna
AF339740.1_56-3	AF170499.1_56-3	0	locarna
AF110964.1_344-427	Z79557.1_65-148	0	locarna
AB035926.1_5989-6104	X06840.1_1-119	10	locarna
AE005997.1_1774-1655	AJ312125.1_523-454	32	locarna
AP003190.2_44501-44328	AL591978.1_19809-19999	79	locarna
AF538302.1_716-833	AB032741.1_666-779	91	locarna
AY434111.1_2-296	AY232739.1_1-354	24	locarna
AF061640.1_8944-9000	AF457070.1_8749-8804	0	locarna
M34508.1_318-404	M20969.1_1-74	42	locarna
M91385.1_1291-1381	AL021918.1_81116-81197	0	locarna
AY288851.1_65-148	AY352656.1_218-301	0	locarna
M10217.1_7394-7325	AF349769.2_1315-1395	1	locarna
AY140557.1_891-942	AB074069.1_1344-1395	0	locarna
AY017179.1_1528-1601	X61068.1_760-831	0	locarna
X58913.1_1046-981	X55514.2_3696-3624	4	locarna
M68929.1_174348-174275	K01637.1_819-890	22	locarna
AF008220.1_5322-5394	X61068.1_1060-1145	4	locarna
AF011753.1_9129-9194	AF313916.1_9114-9179	1	locarna
AY371152.1_59-142	AF443091.1_230-313	0	locarna
X60797.1_1180-1293	M27158.1_2168-2281	1	locarna
AF263012.1_9229-9015	AE016861.1_295441-295655	143	locarna
D13453.1_3-184	AY145962.1_1-204	110	locarna
Z77087.1_1-197	D31603.1_1-341	80	locarna
AF423758.1_301-384	AF539404.1_338-421	0	locarna
AE010479.1_12991-12886	BX842573.1_168419-168309	4	locarna
X52529.1_320-422	L22252.1_132-235	4	locarna
AY188094.1_3-196	Z36519.1_1-205	17	locarna
AF011753.1_1-391	U51784.1_1-224	8	locarna
X55514.2_3696-3624	X16887.1_553-487	26	locarna
AF408627.1_1519-1570	AJ583734.1_51-102	0	locarna
AC092237.1_57223-57161	D25220.1_1493-1556	37	locarna
AE016947.1_224792-224618	AE017269.1_77627-77808	13	locarna
L38325.1_3-288	L29619.1_5-231	168	locarna
AE007798.1_8173-8025	AL672115.1_15647-15763	123	locarna
X16888.1_178-111	M17309.1_99-171	2	locarna
L27875.1_1-232	AJ006326.1_1-236	228	locarna
AF442568.1_59-176	U88822.1_208-327	4	locarna
AF382013.1_10403-10467	X16888.1_869-940	0	locarna
U38284.1_1-202	AF506687.1_2-242	72	locarna
X04305.1_1-118	X03567.1_108-226	0	locarna
M36159.1_2-116	AF114034.1_6052-6168	4	locarna
M36311.1_2-120	X06834.1_1-119	0	locarna
AF165061.1_1-379	AF077228.1_1-250	134	locarna
AY070184.1_1-277	AF177038.1_1-391	36	locarna
X16886.1_999-1070	M18050.1_100-172	0	locarna
AL592062.11_88031-88081	BX005477.7_30334-30280	0	locarna
AF024053.1_108-159	M73476.1_3-54	0	locarna
AF385935.1_714-830	AF443113.1_69-186	0	locarna
AL592062.11_86073-86127	BX088699.4_105142-105196	1	locarna
AY561242.1_1290-1341	AF484477.1_1290-1341	0	locarna
AY145996.1_1-213	AF483269.1_1-356	58	locarna
AF082395.1_178-261	AY463219.1_303-386	0	locarna
AE006696.1_291-218	X12977.1_221-293	0	locarna
BX649448.10_102668-102722	AL807818.14_154315-154373	20	locarna
M26977.1_276-348	X12631.1_1944-2014	23	locarna
AB049094.1_9322-9358	AF009070.1_31-67	0	locarna
AF493542.1_2517-2451	D00550.1_152-232	21	locarna
AF385934.1_2111-2162	AB078703.1_1299-1350	0	locarna
M10217.1_13781-13846	AC005783.1_27398-27326	0	locarna
M10217.1_16246-16178	X16763.1_1-89	5	locarna
Z50075.1_3-119	X59479.1_518-634	1	locarna
AC008443.10_43006-42934	X53444.1_72-144	1	locarna
AE017002.1_74863-74734	AE007449.1_12778-12662	42	locarna
AF386049.1_65-148	AF418454.1_48-131	0	locarna
D12926.1_388-490	AE000759.1_8335-8411	18	locarna
X71405.1_1-262	D00944.1_1-390	124	locarna
AF195141.1_689-759	AF093774.1_5851-5916	19	locarna
L29771.1_1004-1071	X59573.1_314-396	19	locarna
AL646068.1_58739-58896	BX321864.1_302773-302659	23	locarna
AF069749.1_1422-1494	K00174.1_1-68	0	locarna
AF102222.1_394-449	U72138.1_317-373	0	locarna
M20952.1_1-71	AJ011856.1_70824-70908	1	locarna
K02343.1_1-119	X02242.1_7-110	3	locarna
D12694.1_2533-2604	X13975.1_39-104	4	locarna
X90410.1_15-165	X54512.1_4422-4569	12	locarna
AF457091.1_8794-8849	AF484479.1_8733-8789	0	locarna
M18050.1_352-424	X04465.1_50998-51070	0	locarna
J01470.1_315-386	X55514.2_4047-4119	0	locarna
AY070182.1_1-277	D37850.1_1-388	116	locarna
AY047308.1_457-513	AF457062.1_8757-8813	0	locarna
L27166.1_1-122	X52301.1_1-117	4	locarna
M37339.1_618-707	AP006571.1_295973-296079	62	locarna
AY519015.1_46-97	AF323211.1_39-90	0	locarna
AE017007.1_179801-179567	AE017033.1_110729-110493	0	locarna
X16885.1_1019-953	AC008345.4_147881-147810	4	locarna
AY463222.1_303-386	AY255826.1_59-142	0	locarna
X06837.1_1-119	AE000559.1_152-269	11	locarna
AL939118.1_230082-230163	AJ235273.1_216698-216780	7	locarna
AE008837.1_3449-3522	V00654.1_4197-4265	0	locarna
M74250.1_5-251	M84846.1_1-321	26	locarna
X62453.1_1-74	X55514.2_4416-4343	0	locarna
X56005.1_1-73	X13824.1_2-83	1	locarna
AF457090.1_1293-1344	AF024385.1_93-144	0	locarna
U06833.1_215-133	AE009624.1_3419-3517	45	locarna
AL132709.5_182043-181969	AL132709.5_185108-185034	0	locarna
AF001265.1_6033-6149	M33890.1_5-120	43	locarna
AF024163.1_90-141	AF024112.1_120-171	0	locarna
AF055302.1_1-238	D14307.1_1-327	148	locarna
AJ550912.1_56-3	AJ247123.1_132-52	22	locarna
AF281757.1_65-148	AF110976.1_344-427	0	locarna
AY371125.1_1272-1323	AY535716.1_171-222	0	locarna
X04243.1_69-260	X56321.1_284-479	38	locarna
D13620.1_3-119	M35563.1_5-120	0	locarna
AF195142.1_461-524	BC003127.1_865-928	1	locarna
AF443115.1_1450-1501	AY492779.1_846-897	0	locarna
AY165213.1_235-286	AB098330.1_2063-2114	0	locarna
AY518955.1_46-97	AF484491.1_1284-1335	0	locarna
AF444327.1_152-305	AF422961.1_176-329	0	locarna
AL591980.1_66651-66543	AE015940.1_18048-17945	15	locarna
X02205.1_562-633	AF134583.1_1599-1666	0	locarna
L27899.1_1-232	AY446047.1_1-273	76	locarna
X05914.1_238-306	X52969.1_525-607	21	locarna
AF239623.1_514-612	L31963.1_617-715	0	locarna
AY358060.1_1284-1335	AY463237.1_1517-1568	0	locarna
U89866.1_449-547	AF110973.1_69-167	0	locarna
D31726.1_1-254	Z84237.1_1-250	75	locarna
AY070213.1_1-277	D88476.1_1-392	88	locarna
AY134961.1_65-148	AF069946.1_51-134	1	locarna
X51398.1_2-75	AL590385.23_26129-26058	1	locarna
M58214.1_744-800	AF170546.1_375-430	0	locarna
AF254712.1_414-470	AF484519.1_8749-8805	0	locarna
AY463223.1_28-126	U24469.1_452-550	0	locarna
AY331285.1_1297-1348	AY492786.1_843-894	0	locarna
X72495.1_5075-5190	M16173.1_3-119	3	locarna
J01399.1_2867-2939	AE000965.1_156-85	0	locarna
X13662.1_1-116	M32519.1_4-118	1	locarna
AF100664.1_6440-6512	U67538.1_10143-10207	37	locarna
AF004885.1_318-401	AY139456.1_35-118	0	locarna
X12977.1_221-293	X16754.1_1-86	5	locarna
AF281696.1_65-148	AF457101.1_56-139	19	locarna
X01536.1_1-119	M35571.1_1-119	2	locarna
X65983.1_1-305	X15364.1_835-1130	48	locarna
U23747.1_2-303	AJ012832.1_2-252	137	locarna
X03715.1_388-461	AL662865.4_12206-12135	1	locarna
AY055142.1_294-545	L76408.1_391-642	52	locarna
M16863.1_456-385	AF467991.1_42-125	6	locarna
X03154.1_110-183	X62566.1_248-320	0	locarna
M26978.1_1192-1264	X15246.1_425-492	12	locarna
AF084713.1_65-148	AY371168.1_59-142	1	locarna
X06694.1_9-124	M11537.1_2-117	0	locarna
AF110967.1_341-424	AB081746.1_65-148	0	locarna
AY253315.1_1287-1338	AY519081.1_46-97	0	locarna
AB074077.1_1317-1368	AY181078.1_46-97	0	locarna
AF418369.1_65-148	AY463227.1_304-387	0	locarna
AF286236.1_352-435	AY074891.1_230-313	9	locarna
AE017025.1_103946-104055	AE017257.1_202839-202737	11	locarna
AF413962.1_151-234	AF017978.1_25-108	9	locarna
AF323751.1_1477-1590	U06156.1_1880-1993	0	locarna
AJ131595.1_3-115	X00190.1_1-118	13	locarna
M20945.1_1-72	X61066.1_339-412	0	locarna
AY535755.1_171-222	AY535716.1_171-222	0	locarna
AJ437147.1_1-237	U51749.1_1-224	22	locarna
J01390.1_13362-13432	X60981.1_3182-3253	0	locarna
AF186372.1_596-669	M10217.1_5910-5978	0	locarna
AY358063.1_1284-1335	AF293426.1_1-52	0	locarna
M11535.1_2-117	X15179.1_3-118	0	locarna
M28975.1_65-183	M10850.1_361-479	0	locarna
AJ131583.1_3-115	Z11819.1_3-116	5	locarna
AF093014.1_662-809	X15589.1_256-410	8	locarna
AE010547.1_5644-5538	AE010577.1_3358-3260	20	locarna
AP001518.1_272531-272358	AE017028.1_200117-200298	15	locarna
M68929.1_166929-166856	M18050.1_100-172	0	locarna
M73768.1_361-517	X06880.1_1-162	59	locarna
Z17287.1_97-199	X58843.1_3-106	0	locarna
AF484484.1_59-142	AF470707.1_65-148	0	locarna
M10217.1_13648-13715	J01390.1_12100-12172	0	locarna
AF158101.6_72530-72458	AF396436.1_47447-47513	17	locarna
AF217307.1_1-256	L38340.1_5-289	251	locarna
U72139.1_317-373	AF442570.1_8877-8933	0	locarna
M20952.1_1-71	K01390.1_620-691	0	locarna
Z50737.1_3-119	D13621.1_3-119	0	locarna
AE000516.2_79183-79076	CR543861.1_1990167-1990077	50	locarna
U80528.1_410-508	U81466.1_410-508	0	locarna
AE013192.1_4947-4844	AE012556.1_212138-212040	35	locarna
X07379.1_305-375	X12631.1_1014-1084	0	locarna
Y12290.1_4568-4593	V01357.1_479-504	0	locarna
AE008680.1_732-813	AJ414155.1_123558-123461	27	locarna
AP004601.1_38307-38208	AE013132.1_12640-12541	8	locarna
AY237167.1_1438-1489	AY519082.1_46-97	0	locarna
M96747.1_472-585	X62841.1_1711-1824	0	locarna
AP003362.3_86114-86289	AE015829.1_4454-4280	17	locarna
M11464.1_1-72	AB031215.1_9125-9195	0	locarna
X00446.1_283-210	M32222.1_3110-3183	2	locarna
AF008220.1_6251-6324	AF396436.1_47447-47513	6	locarna
AL139074.2_66646-66744	AE001441.1_7008-6912	0	locarna
AC145764.2_6538-6588	AL953899.7_43050-43104	0	locarna
AY311400.1_1-215	D16612.1_3-309	98	locarna
D11467.1_6989-6916	M86496.1_1-68	4	locarna
AY028787.1_23621-23665	AF036743.1_118-165	0	locarna
U00064.1_12850-13146	X17240.1_14-307	59	locarna
X01017.1_487-417	AB027572.1_4261-4342	17	locarna
AE012090.1_10837-10947	AE008781.1_18002-18124	84	locarna
AY282097.1_65-148	AY371129.1_59-142	0	locarna
X15621.1_101-144	D87492.1_2147-2192	0	locarna
AF465513.1_1-91	L76394.1_1-91	0	locarna
AF411967.1_856-939	AY134961.1_65-148	0	locarna
X02022.1_3-118	X01950.1_1-117	2	locarna
D11414.1_117-219	D49784.1_399-501	1	locarna
AL591676.10_16205-16259	AL928834.15_187161-187215	0	locarna
X17661.1_419-487	X02173.1_718-802	42	locarna
AB115514.1_65-148	AY371125.1_59-142	0	locarna
AE017311.1_207809-207719	AE012210.1_6050-5969	15	locarna
X04465.1_2700-2775	X77508.1_2333-2408	13	locarna
J00645.1_51-213	AE003745.3_26197-26359	14	locarna
AJ414155.1_123558-123461	AE004188.1_3986-4083	0	locarna
U80527.1_411-509	U81461.1_412-510	0	locarna
AL132709.5_132469-132398	AL132709.5_146793-146719	36	locarna
AJ276224.1_393-644	AB081342.1_266-517	0	locarna
X02025.1_1-116	M35565.1_3-118	5	locarna
AF193253.1_1467-1518	AF197338.1_2038-2089	0	locarna
X03715.1_779-868	X07380.1_111-198	40	locarna
U56340.1_68-151	AY288889.1_65-148	0	locarna
D16387.1_11397-11328	X73425.1_2369-2440	26	locarna
AP003187.2_239890-239991	AF264021.1_2226-2360	53	locarna
BX572608.1_190529-190732	AE008342.1_7843-8078	107	locarna
AL591976.1_242770-242867	AP001512.1_200657-200766	4	locarna
X13824.1_2-83	M19493.1_340-412	6	locarna
AJ534992.1_23-74	AY519025.1_46-97	0	locarna
Y13184.1_9211-9261	AF165050.1_9249-9299	0	locarna
AB081393.1_266-516	AF499636.1_392-643	66	locarna
U23389.1_1-319	AF506666.1_2-232	235	locarna
AC005662.3_47366-47062	Z29099.1_1-303	8	locarna
AF443076.1_1443-1494	AY455784.1_1548-1599	0	locarna
J01390.1_6234-6306	AE008868.1_12130-12057	0	locarna
AY331287.1_1296-1347	AY518982.1_46-97	0	locarna
AB001488.1_62222-62293	M23363.1_611-683	0	locarna
K01390.1_620-691	AE000043.2_9006-8935	0	locarna
X17660.1_1002-1069	X52969.1_525-607	63	locarna
M68929.1_48611-48684	AF347005.1_12268-12338	2	locarna
AE000007.2_3022-3129	X79704.1_3397-3511	37	locarna
X13975.1_858-928	L36887.1_650-721	8	locarna
AF073423.1_65-148	AF418330.1_65-148	0	locarna
AE000043.2_8839-8769	X05602.1_210-283	0	locarna
AF491241.1_65-148	AF484487.1_59-142	0	locarna
AF196763.1_599-697	U80533.1_411-509	0	locarna
AP004599.1_137225-137134	AE013002.1_8534-8441	25	locarna
AF166003.1_1167-1280	AB018545.1_1858-1971	9	locarna
AY278553.1_392-643	AY238473.1_393-644	0	locarna
Z50061.1_3-119	D13621.1_3-119	0	locarna
AE017025.1_103946-104055	AP003002.2_342381-342267	14	locarna
AB047641.1_9329-9379	D45194.1_983-1033	0	locarna
X02251.1_3-118	X02239.1_3-118	0	locarna
L27169.1_1-121	Z50737.1_3-119	14	locarna
U33007.1_60769-60697	X61068.1_1060-1145	2	locarna
X51471.1_6754-6681	X61068.1_393-465	1	locarna
D89936.1_1231-1150	X52392.1_11128-11195	1	locarna
AF484485.1_59-142	AY371159.1_59-142	0	locarna
X05917.1_3244-3331	Z00044.1_87253-87177	24	locarna
X52154.1_9633-9688	L28864.1_329-385	0	locarna
AF418357.1_65-148	AY134924.1_65-148	0	locarna
X03834.1_1418-1494	Z00028.1_5121-5234	73	locarna
X06473.1_389-584	AF106847.1_185-380	0	locarna
X04561.1_1-72	AJ400848.1_74-1	5	locarna
AF328683.1_393-644	X00596.1_394-644	17	locarna
D86541.1_983-1033	AJ238800.1_8920-8970	0	locarna
L38344.1_5-288	AJ437147.1_1-237	70	locarna
AF490974.1_1302-1353	AY165249.1_224-275	0	locarna
AF302996.1_4397-4457	X92886.1_4415-4475	0	locarna
M18050.1_352-424	X16887.1_483-416	36	locarna
AE001799.1_20444-20268	AE017270.1_85304-85118	21	locarna
AY304847.1_1280-1331	AY492763.1_837-888	0	locarna
M86493.1_1025-1091	J01395.1_2878-2951	0	locarna
AY093603.1_1290-1341	AY181075.1_46-97	0	locarna
J04815.1_1380-1448	U39708.1_2300-2229	0	locarna
M20942.1_1-73	AC002512.1_77401-77473	0	locarna
AB081205.1_65-148	Z79534.1_65-148	0	locarna
AY038234.1_65-148	U56896.1_65-148	0	locarna
Y00055.1_4327-4494	AL049755.2_30863-31016	0	locarna
AF323219.1_59-110	AJ291719.1_2082-2133	0	locarna
AF289550.1_71-187	AF110959.1_182-300	98	locarna
AF141989.1_1-195	AJ006327.1_1-227	155	locarna
AY519061.1_46-97	AY492773.1_807-858	0	locarna
D16387.1_11325-11257	D10745.1_410-483	4	locarna
X14848.1_5139-5066	M16869.1_80-166	47	locarna
X02241.1_3-119	X15180.1_3-118	0	locarna
U23746.1_1-305	M86779.1_2-378	160	locarna
AF499637.1_391-642	AF231763.1_393-644	45	locarna
AP003185.1_248249-248449	AP003005.2_245680-245479	53	locarna
M34759.1_7-109	M34764.1_3-118	0	locarna
M74898.1_595-708	L22218.1_1705-1818	0	locarna
AF128997.1_133-184	AF024256.1_120-171	0	locarna
X00916.1_823-889	X00916.1_933-1007	23	locarna
AY253307.1_1299-1350	AJ404321.1_1296-1347	0	locarna
X12977.1_221-293	X66440.1_1-74	2	locarna
AY161882.1_171-254	AB081211.1_65-148	0	locarna
AF000544.1_156-212	L28866.1_329-385	0	locarna
AF142677.4_47404-47332	U22383.1_8197-8124	0	locarna
AE017011.1_46644-46832	AE005721.1_1901-2129	111	locarna
AF102222.1_394-449	AF196721.1_476-532	0	locarna
AL021918.1_54817-54736	X03240.1_1-65	10	locarna
AC009323.4_37955-37874	D85271.1_587-657	35	locarna
M93388.1_1318-1384	M10217.1_11905-11973	6	locarna
L38346.1_1-288	M74251.1_1-236	62	locarna
AB031213.1_2678-2748	X04779.1_1-73	0	locarna
AJ550907.1_281-333	AJ536617.1_1-40	9	locarna
D00547.1_242-315	AP000063.1_59179-59095	28	locarna
M10217.1_16246-16178	AF186372.1_596-669	0	locarna
AC146543.2_7696-7640	AC146547.2_135691-135742	0	locarna
X03126.1_162-234	AL161496.2_172002-171930	0	locarna
AE008893.1_17175-17247	Z98744.2_66305-66234	0	locarna
M74160.1_2030-2100	X60981.1_3261-3348	2	locarna
AF110973.1_1563-1614	AF408631.1_1527-1578	0	locarna
U52812.1_691-829	AE016750.1_132874-132778	87	locarna
AY206661.1_65-148	M17451.1_368-451	0	locarna
AY302542.1_7313-7437	AJ245864.1_1369-1498	7	locarna
AF361874.1_1274-1325	AY682547.1_1576-1627	0	locarna
AF506629.1_2-232	AY190482.1_1-181	56	locarna
U01070.1_190-289	X05541.1_1-121	46	locarna
AF289550.1_1462-1513	AF443098.1_1455-1506	0	locarna
AF000544.1_156-212	L28865.1_329-385	0	locarna
AY206660.1_1305-1356	AF005494.1_1413-1464	0	locarna
AF286228.1_1423-1474	AF286242.1_1553-1604	0	locarna
AP005079.1_54988-55101	AE013139.1_7801-7700	87	locarna
Z75101.1_9634-9705	AF008220.1_6172-6245	0	locarna
U67517.1_7511-7582	M87833.1_2781-2865	27	locarna
L36887.1_4319-4391	K01389.1_345-433	4	locarna
X16885.1_635-704	M16450.1_308-380	41	locarna
AB031663.1_9387-9423	M58335.1_9309-9345	0	locarna
AF286227.1_203-286	L11799.1_65-148	0	locarna
AP003364.3_147484-147382	U32720.1_1366-1454	0	locarna
L11765.1_1308-1359	AJ535010.1_23-74	0	locarna
AF506655.1_1-238	AF217296.1_1-256	39	locarna
AY451143.1_147-230	AF084692.1_65-148	1	locarna
D11422.1_117-217	AE002112.1_7386-7290	27	locarna
X58913.1_1046-981	AE005629.1_6992-7073	13	locarna
AY206650.1_1302-1353	AJ405963.1_1-52	0	locarna
U81464.1_411-509	AF196718.1_579-677	0	locarna
AF158606.1_1-181	L12354.1_1-368	82	locarna
AF110981.1_69-186	AF286238.1_40-157	15	locarna
AE005405.1_41-163	AP004603.1_147738-147633	7	locarna
AF084674.1_65-148	AF386046.1_65-148	0	locarna
AE005466.1_5965-6036	AE005497.1_10137-10064	0	locarna
AE015414.1_5697-5597	AE016750.1_293855-293964	12	locarna
AP001508.1_5769-5939	BX572600.1_273933-274129	73	locarna
X78860.1_2-193	AF217295.1_1-256	64	locarna
AF484486.1_59-142	AB034894.1_65-148	1	locarna
AF165058.1_1-379	AB047641.1_1-390	43	locarna
AY304935.1_1283-1334	AF484485.1_1293-1344	0	locarna
AF506679.1_1-231	M74249.1_2-256	249	locarna
X52392.1_6506-6434	AF067200.1_16-89	4	locarna
X83548.1_695-720	Z46261.1_745-770	0	locarna
AB081366.1_266-517	AJ295193.1_354-605	5	locarna
AE005414.1_2810-2738	AF346999.1_4402-4331	0	locarna
Z77098.1_1-197	Z23076.1_1-230	80	locarna
AY463221.1_1-99	U80521.1_412-510	0	locarna
AF361871.1_61-144	AY451081.1_148-231	0	locarna
Z50075.1_3-119	X06854.1_5-111	42	locarna
AY371144.1_1284-1335	AF076475.1_1423-1474	0	locarna
AY371164.1_1275-1326	AY358062.1_1284-1335	0	locarna
AE014429.2_552-315	AE017011.1_46644-46832	108	locarna
AJ400848.1_50859-50931	K02322.1_59-130	0	locarna
AF326148.1_62-145	AJ291720.1_866-949	0	locarna
AY070191.1_1-277	AJ438621.1_1-250	276	locarna
