sequence_a	sequence_b	software	sensitivity	specificity	approx_correlation	correlation	matthew_coefficient
AF470705.1_65-148	AF386028.1_65-148	carna	1.000	1.000	1.000	1.000	1.000
AY047311.1_456-512	AF196762.1_467-523	carna	1.000	1.000	1.000	1.000	1.000
X14848.1_5139-5066	D13107.1_530-459	carna	0.920	1.000	0.960	0.958	0.958
AF443082.1_8878-8933	AF239629.1_394-449	carna	1.000	1.000	1.000	1.000	1.000
M58387.1_5-112	AJ417699.1_1-119	carna	1.000	1.000	1.000	1.000	1.000
X12857.1_421-494	AF134583.1_1816-1744	carna	1.000	1.000	1.000	1.000	1.000
AE016910.1_243048-243195	AE012556.1_212138-212040	carna	0.000	0.000	0.000	0.000	-0.025
AC009742.4_51767-51839	M25659.1_553-621	carna	0.000	0.000	0.000	0.000	-0.053
AF069749.1_1422-1494	K00634.1_531-596	carna	1.000	1.000	1.000	1.000	1.000
M15176.1_580-656	Z00044.1_44460-44392	carna	0.000	0.000	0.000	0.000	-0.043
AY070196.1_1-277	L38322.1_3-288	carna	0.575	0.535	0.555	0.552	0.552
AY288844.1_65-148	AF286229.1_201-284	carna	1.000	1.000	1.000	1.000	1.000
L29585.1_5-230	Z84272.1_1-250	carna	0.000	0.000	0.000	0.000	-0.008
AF084661.1_65-148	AF121479.1_65-148	carna	0.588	0.556	0.572	0.564	0.564
AF506631.1_3-236	Z84279.1_1-250	carna	0.000	0.000	0.000	0.000	-0.008
M68929.1_1540-1461	X15090.1_41-114	carna	0.000	0.000	0.000	0.000	-0.043
AJ002222.1_720-791	L36887.1_1748-1820	carna	1.000	1.000	1.000	1.000	1.000
X83550.1_739-764	U37575.1_1468-1493	carna	1.000	1.000	1.000	1.000	1.000
X00432.1_816-751	M86498.1_1-69	carna	1.000	1.000	1.000	1.000	1.000
L24488.1_3-117	L37446.1_4-117	carna	0.000	0.000	0.000	0.000	-0.019
AF024239.1_120-171	AY371138.1_1272-1323	carna	1.000	1.000	1.000	1.000	1.000
X14441.1_5-123	X00692.1_1-119	carna	0.121	0.114	0.118	0.100	0.100
M11546.1_4-118	M34772.1_1-114	carna	0.474	0.474	0.474	0.464	0.464
X67494.1_1-118	M38645.1_2-120	carna	1.000	1.000	1.000	1.000	1.000
AF024071.1_111-162	AY519085.1_46-97	carna	1.000	1.000	1.000	1.000	1.000
X52392.1_16775-16708	J01390.1_6861-6932	carna	0.000	0.000	0.000	0.000	-0.054
AB081749.1_65-148	U56344.1_65-148	carna	1.000	1.000	1.000	1.000	1.000
M16495.1_2120-2233	AE016746.1_165122-165020	carna	0.000	0.000	0.000	0.000	-0.020
AP006583.1_134892-135011	AE015551.1_8187-8055	carna	0.186	0.195	0.191	0.165	0.165
AF239621.1_550-648	U24468.1_452-550	carna	1.000	1.000	1.000	1.000	1.000
AY535755.1_171-222	AF156848.1_44-95	carna	1.000	1.000	1.000	1.000	1.000
M36187.1_5-126	X02255.1_3-118	carna	0.326	0.368	0.347	0.333	0.333
AL132709.5_149496-149422	AL132709.5_168250-168176	carna	1.000	1.000	1.000	1.000	1.000
X61067.1_334-415	X12977.1_317-399	carna	0.240	0.273	0.256	0.238	0.238
Z50062.1_3-119	M36155.1_1-117	carna	0.421	0.421	0.421	0.410	0.410
AB115518.1_65-148	AY451170.1_147-230	carna	1.000	1.000	1.000	1.000	1.000
AF484480.1_8738-8794	AJ291720.1_9590-9646	carna	1.000	1.000	1.000	1.000	1.000
AP003186.2_120108-120002	AE016761.1_247677-247799	carna	0.839	1.000	0.919	0.914	0.914
M30312.1_1217-1330	M95914.1_1261-1374	carna	0.135	0.147	0.141	0.127	0.127
BX649600.8_46743-46797	AL928701.7_176380-176432	carna	1.000	1.000	1.000	1.000	1.000
M93388.1_1318-1384	M86501.1_1024-1090	carna	1.000	1.000	1.000	1.000	1.000
AB049811.1_9599-9655	AF457076.1_8776-8831	carna	1.000	1.000	1.000	1.000	1.000
AF292842.1_80-131	AF323230.1_34-85	carna	1.000	1.000	1.000	1.000	1.000
AF186372.1_596-669	X68198.1_9818-9745	carna	0.000	0.000	0.000	0.000	-0.026
X15901.1_99287-99217	M26977.1_276-348	carna	0.875	0.913	0.894	0.891	0.891
AE016761.1_247677-247799	AE016859.1_295534-295393	carna	0.511	0.571	0.541	0.528	0.528
AF268065.1_4364-4424	AF119795.2_4397-4457	carna	1.000	1.000	1.000	1.000	1.000
AY484781.1_1-50	AY371154.1_1293-1344	carna	1.000	1.000	1.000	1.000	1.000
D16619.1_1040-1076	AF208024.1_9300-9336	carna	1.000	1.000	1.000	1.000	1.000
D37849.1_1-388	L38320.1_3-288	carna	0.320	0.276	0.298	0.293	0.293
M10364.1_2-118	X02247.1_3-118	carna	0.471	0.471	0.471	0.462	0.462
AY145926.1_2-206	AY434118.1_2-196	carna	0.000	0.000	0.000	0.000	-0.010
X15613.1_124-189	M93388.1_1185-1251	carna	0.450	0.450	0.450	0.435	0.435
AF405201.1_87-143	U72103.1_308-364	carna	1.000	1.000	1.000	1.000	1.000
BX248356.1_172244-172444	AL583923.1_215513-215333	carna	0.000	0.000	0.000	0.000	-0.016
D49766.1_1040-1076	AY044867.1_5094-5130	carna	1.000	1.000	1.000	1.000	1.000
AF254709.1_516-614	U24474.1_452-550	carna	0.833	0.806	0.820	0.816	0.816
AF480731.1_11-94	AY463217.1_303-386	carna	1.000	1.000	1.000	1.000	1.000
Z99111.2_15242-15342	AP003193.2_95783-95678	carna	0.970	0.970	0.970	0.969	0.969
K03458.1_5030-5128	AF096634.1_517-615	carna	1.000	1.000	1.000	1.000	1.000
X66325.1_2369-2523	Y07978.1_48-201	carna	0.981	0.981	0.981	0.981	0.981
Y14459.1_388-637	AF117632.1_293-544	carna	0.608	0.623	0.615	0.613	0.613
AF179368.1_171-254	AY451200.1_147-230	carna	0.000	0.000	0.000	0.000	-0.022
AF484493.1_59-142	K03454.1_400-483	carna	1.000	1.000	1.000	1.000	1.000
X16767.1_1-73	X52392.1_16039-16107	carna	1.000	1.000	1.000	1.000	1.000
AY331287.1_1296-1347	AY492777.1_840-891	carna	1.000	1.000	1.000	1.000	1.000
Z29260.1_1-302	Z99259.1_7742-7997	carna	0.000	0.000	0.000	0.000	-0.015
AF036398.1_58-102	AF036747.1_117-160	carna	1.000	1.000	1.000	1.000	1.000
AF506626.1_1-236	AF077230.1_1-250	carna	0.750	0.771	0.761	0.759	0.759
M11543.1_1-115	X02246.1_3-118	carna	0.462	0.462	0.462	0.448	0.448
AE017007.1_287994-288186	AE017003.1_180245-180059	carna	0.000	0.000	0.000	0.000	-0.011
M34770.1_1-114	X55264.1_4-122	carna	0.417	0.405	0.411	0.398	0.398
AF162711.1_4398-4458	AF316321.2_4400-4460	carna	1.000	1.000	1.000	1.000	1.000
AY206664.1_65-148	AF484481.1_59-142	carna	0.722	0.684	0.703	0.697	0.697
AF200843.1_3014-3079	X61066.1_339-412	carna	1.000	1.000	1.000	1.000	1.000
X03924.1_17-83	AE005245.1_5142-5071	carna	0.000	0.000	0.000	0.000	-0.055
AJ131145.1_1727-1802	AF080083.1_1551-1683	carna	0.636	0.538	0.587	0.569	0.569
K00174.1_1-68	K00634.1_531-596	carna	0.000	0.000	0.000	0.000	-0.065
X56490.1_1-119	X52049.1_2-120	carna	1.000	1.000	1.000	1.000	1.000
AE014334.1_9887-9781	AE007798.1_8173-8025	carna	0.000	0.000	0.000	0.000	-0.019
AF069749.1_1422-1494	Z74072.1_3173-3245	carna	1.000	1.000	1.000	1.000	1.000
X00476.1_1-85	D16387.1_11403-11471	carna	0.227	0.312	0.270	0.231	0.231
AP003187.2_61536-61648	AE005906.1_7630-7499	carna	1.000	1.000	1.000	1.000	1.000
AL928701.7_176380-176432	AC139110.4_26593-26647	carna	1.000	1.000	1.000	1.000	1.000
D11467.1_6989-6916	M68929.1_48611-48684	carna	1.000	1.000	1.000	1.000	1.000
AY145996.1_1-213	AY190413.1_1-181	carna	0.000	0.000	0.000	0.000	-0.011
X13035.1_1-119	M34773.1_1-114	carna	0.605	0.676	0.641	0.631	0.631
AY451134.1_148-231	AB115516.1_65-148	carna	0.000	0.000	0.000	0.000	-0.025
BX255897.3_43822-43876	AL954371.6_100128-100074	carna	1.000	1.000	1.000	1.000	1.000
AF024104.1_120-171	AY682547.1_1576-1627	carna	1.000	1.000	1.000	1.000	1.000
AL132709.5_145774-145703	AL132709.5_154547-154476	carna	1.000	1.000	1.000	1.000	1.000
M26978.1_994-1068	AC008345.4_147881-147810	carna	1.000	1.000	1.000	1.000	1.000
AL132709.5_131508-131439	AL132709.5_166229-166160	carna	0.000	0.000	0.000	0.000	-0.028
X05533.1_1-118	X05233.1_1-119	carna	1.000	1.000	1.000	1.000	1.000
AJ131593.1_3-115	AE004502.1_3179-3294	carna	0.469	0.469	0.469	0.459	0.459
M59345.1_3-119	M16176.1_4-120	carna	1.000	1.000	1.000	1.000	1.000
Z29261.1_1-303	AB020752.1_35792-36096	carna	0.099	0.105	0.102	0.095	0.095
AY165233.1_239-290	AB078691.1_1281-1332	carna	1.000	1.000	1.000	1.000	1.000
AF347001.1_16015-15948	J01390.1_6035-6106	carna	0.913	1.000	0.957	0.954	0.954
M10358.1_2-120	X01543.1_1-118	carna	1.000	1.000	1.000	1.000	1.000
AY158535.1_40-158	K03454.1_240-356	carna	0.900	0.923	0.912	0.910	0.910
AE004843.1_4972-4900	U18916.2_60498-60427	carna	0.000	0.000	0.000	0.000	-0.033
X15901.1_105074-105153	X16745.1_1-74	carna	0.455	0.455	0.455	0.438	0.438
X55342.1_30-101	J01390.1_6761-6842	carna	0.136	0.120	0.128	0.097	0.097
AY302557.1_1-90	AF499636.1_1-91	carna	1.000	1.000	1.000	1.000	1.000
X65991.1_1-302	AC005275.1_105500-105804	carna	0.000	0.000	0.000	0.000	-0.007
AJ131586.1_3-115	AF134704.1_5562-5676	carna	0.515	0.500	0.508	0.498	0.498
AY518985.1_46-97	AJ534991.1_23-74	carna	1.000	1.000	1.000	1.000	1.000
AB084422.1_1249-1362	U78642.1_1141-1254	carna	1.000	1.000	1.000	1.000	1.000
U24470.1_452-550	U51282.1_498-596	carna	1.000	1.000	1.000	1.000	1.000
U14783.1_1-240	D14305.1_1-327	carna	0.437	0.425	0.431	0.426	0.426
M89481.1_311-504	AE016770.1_161998-162188	carna	0.316	0.346	0.331	0.324	0.324
AK119882.1_1-98	AL596164.1_123476-123581	carna	0.000	0.000	0.000	0.000	-0.017
AJ430385.1_389-639	L76409.1_393-643	carna	1.000	1.000	1.000	1.000	1.000
X02710.1_1-73	M68929.1_17407-17480	carna	1.000	1.000	1.000	1.000	1.000
AY302543.1_1-90	AJ293918.1_1-91	carna	1.000	1.000	1.000	1.000	1.000
AE016935.1_265475-265571	AP005217.1_259663-259772	carna	0.333	0.286	0.310	0.295	0.295
AY446063.1_1-272	L34369.1_1-279	carna	0.284	0.287	0.286	0.281	0.281
X52299.1_5-122	D13618.1_3-119	carna	0.410	0.410	0.410	0.398	0.398
AP004603.1_200738-200630	AL596164.1_95936-95817	carna	0.975	1.000	0.988	0.987	0.987
D49374.1_9355-9391	AF207756.1_9306-9342	carna	1.000	1.000	1.000	1.000	1.000
X83208.1_1-119	X06848.1_1-119	carna	0.929	0.929	0.929	0.927	0.927
AF207763.1_9249-9299	Y11604.1_9193-9243	carna	1.000	1.000	1.000	1.000	1.000
AE015944.1_267219-267117	AP004600.1_266413-266303	carna	1.000	1.000	1.000	1.000	1.000
AL163195.5_3702-3774	X04377.1_307-380	carna	1.000	1.000	1.000	1.000	1.000
X59360.1_1-185	X51374.1_284-474	carna	0.590	0.581	0.585	0.580	0.580
M22655.1_587-657	X16885.1_631-561	carna	1.000	1.000	1.000	1.000	1.000
X00072.1_1-118	X57791.1_153-262	carna	0.667	0.667	0.667	0.658	0.658
AF008220.1_7053-7140	AC021639.5_181586-181505	carna	0.519	0.538	0.528	0.514	0.514
AY206653.1_1290-1341	AF411965.1_2075-2126	carna	1.000	1.000	1.000	1.000	1.000
AY435124.1_1-297	M84828.1_1-321	carna	0.966	1.000	0.983	0.982	0.982
M58260.1_744-800	AY047305.1_454-510	carna	1.000	1.000	1.000	1.000	1.000
AJ313415.1_51-102	AF457072.1_1290-1341	carna	1.000	1.000	1.000	1.000	1.000
M19342.1_69-141	J01390.1_11761-11831	carna	1.000	1.000	1.000	1.000	1.000
X05535.1_1-118	M10438.1_2-120	carna	1.000	1.000	1.000	1.000	1.000
X12977.1_475-548	X81069.1_365-436	carna	0.000	0.000	0.000	0.000	-0.041
AL132709.5_155570-155499	AL132709.5_153488-153414	carna	0.300	0.273	0.286	0.269	0.269
U39694.1_9296-9392	X06852.1_1-118	carna	0.767	0.821	0.794	0.788	0.788
AY232731.1_1-354	AB049100.1_1-360	carna	0.991	0.991	0.991	0.991	0.991
AJ550911.1_282-335	M17439.1_1-48	carna	0.000	0.000	0.000	0.000	-0.076
AY358051.1_1284-1335	AY255813.1_1283-1334	carna	1.000	1.000	1.000	1.000	1.000
M67463.1_9321-9357	AY045702.1_9320-9356	carna	1.000	1.000	1.000	1.000	1.000
AF084740.1_65-148	AF326171.1_62-145	carna	1.000	1.000	1.000	1.000	1.000
U00006.1_98763-98567	AE016747.1_182196-182375	carna	0.000	0.000	0.000	0.000	-0.016
M72888.1_1-195	X55772.1_223-412	carna	0.458	0.509	0.484	0.478	0.478
AL591788.1_218367-218154	AP005083.1_142703-142501	carna	0.000	0.000	0.000	0.000	-0.016
AJ437036.1_65-148	AY451215.1_147-230	carna	0.632	0.600	0.616	0.608	0.608
AL646061.1_184783-184648	AP005086.1_289389-289519	carna	0.000	0.000	0.000	0.000	-0.026
AF511949.1_1-391	U23742.1_1-265	carna	1.000	1.000	1.000	1.000	1.000
M93259.1_9532-9588	U03346.1_812-868	carna	1.000	1.000	1.000	1.000	1.000
M35576.1_1-118	X01544.1_1-118	carna	1.000	1.000	1.000	1.000	1.000
X17395.1_1934-1994	Z00028.1_5121-5234	carna	1.000	1.000	1.000	1.000	1.000
X52392.1_6280-6355	AF127584.1_98-171	carna	0.818	0.857	0.838	0.830	0.830
AY162225.1_2074-2125	AY206661.1_1311-1362	carna	1.000	1.000	1.000	1.000	1.000
M26978.1_826-899	AE008747.1_6317-6401	carna	0.000	0.000	0.000	0.000	-0.034
Y13184.1_9211-9261	AJ238800.1_8920-8970	carna	1.000	1.000	1.000	1.000	1.000
AP001512.1_119931-120105	AP004598.1_253855-254037	carna	0.000	0.000	0.000	0.000	-0.015
Z97084.1_19-102	AY288909.1_65-148	carna	0.412	0.333	0.373	0.359	0.359
AP001513.1_225753-225867	AL596164.1_123476-123581	carna	0.185	0.185	0.185	0.171	0.171
L24896.1_600-665	X71973.1_730-791	carna	0.000	0.000	0.000	0.000	-0.029
AY145971.1_3-233	AF041285.1_1-191	carna	0.918	1.000	0.959	0.958	0.958
X63790.1_27-129	Z17286.1_97-199	carna	0.000	0.000	0.000	0.000	-0.018
AC024877.2_101525-101454	AL161496.2_172002-171930	carna	1.000	1.000	1.000	1.000	1.000
M37162.1_1557-1488	M17129.1_151-222	carna	0.000	0.000	0.000	0.000	-0.053
AY070199.1_1-277	D31728.1_1-254	carna	0.000	0.000	0.000	0.000	-0.009
AF361872.1_61-144	AF103818.1_896-979	carna	1.000	1.000	1.000	1.000	1.000
AP003189.2_34729-34907	AE016932.1_26373-26579	carna	0.400	0.391	0.396	0.388	0.388
Z50062.1_3-119	X01618.1_1-119	carna	0.561	0.590	0.575	0.564	0.564
AY253303.1_1281-1332	AY518994.1_46-97	carna	1.000	1.000	1.000	1.000	1.000
AY253309.1_1281-1332	AY492757.1_849-900	carna	1.000	1.000	1.000	1.000	1.000
X04465.1_2700-2775	X04465.1_77203-77142	carna	0.000	0.000	0.000	0.000	-0.040
AL596169.1_221462-221354	AL939119.1_177986-178133	carna	0.500	0.514	0.507	0.492	0.492
X03715.1_171-243	AE003727.3_195539-195611	carna	0.238	0.227	0.233	0.204	0.204
AF347001.1_16015-15948	AC008443.10_8240-8321	carna	0.261	0.222	0.242	0.206	0.206
AE007789.1_11572-11662	AE017279.1_252135-252236	carna	1.000	1.000	1.000	1.000	1.000
AC122544.1_63069-62986	M10217.1_4724-4798	carna	0.000	0.000	0.000	0.000	-0.032
AY492775.1_858-909	AY518998.1_46-97	carna	1.000	1.000	1.000	1.000	1.000
Z84232.1_1-250	Z77077.1_1-197	carna	0.000	0.000	0.000	0.000	-0.009
X00706.1_129-200	J01391.1_18-88	carna	0.000	0.000	0.000	0.000	-0.032
AE006696.1_291-218	X16886.1_1355-1286	carna	0.478	0.478	0.478	0.458	0.458
AL833575.1_1110-1179	AF390544.1_1076-1142	carna	0.000	0.000	0.000	0.000	-0.029
U72118.1_307-363	U88824.1_8857-8913	carna	1.000	1.000	1.000	1.000	1.000
AF008220.1_6443-6516	AL009179.1_106037-106108	carna	1.000	1.000	1.000	1.000	1.000
AY146053.1_1-206	U23385.1_2-306	carna	0.000	0.000	0.000	0.000	-0.008
AF506663.1_1-222	U51778.1_1-224	carna	1.000	1.000	1.000	1.000	1.000
AY134934.1_65-148	AF110976.1_344-427	carna	1.000	1.000	1.000	1.000	1.000
AF270169.1_2621-2476	AE012978.1_1-99	carna	0.000	0.000	0.000	0.000	-0.023
AY188164.1_2-196	AF041289.1_1-191	carna	0.914	0.914	0.914	0.913	0.913
M21373.1_208-280	X02167.1_345-416	carna	0.000	0.000	0.000	0.000	-0.033
AF075160.1_1209-1322	U75448.1_1122-1235	carna	1.000	1.000	1.000	1.000	1.000
AF196717.1_454-510	AF286235.1_8917-8973	carna	1.000	1.000	1.000	1.000	1.000
X05057.1_3-119	X55269.1_3-119	carna	0.447	0.447	0.447	0.437	0.437
AF170509.1_56-3	Y12833.1_339-285	carna	0.389	0.389	0.389	0.341	0.341
X00997.1_1-119	AF237335.1_140-258	carna	1.000	1.000	1.000	1.000	1.000
L34389.1_1-279	AF021900.1_1-190	carna	0.317	0.311	0.314	0.308	0.308
AY012114.1_954-1022	AB042240.3_15036-15107	carna	0.773	0.810	0.791	0.780	0.780
L36897.1_2659-2743	X04465.1_19125-19199	carna	0.815	0.759	0.787	0.779	0.779
X70810.2_30968-31041	AF490529.1_3010-2943	carna	1.000	1.000	1.000	1.000	1.000
M10437.1_2-120	S43413.1_98-213	carna	0.756	0.795	0.775	0.770	0.770
X02173.1_256-326	M74160.1_2030-2100	carna	1.000	1.000	1.000	1.000	1.000
X55319.1_1-74	AE008893.1_17175-17247	carna	1.000	1.000	1.000	1.000	1.000
M36307.1_1-119	Z50736.1_3-119	carna	0.475	0.543	0.509	0.495	0.495
L03707.1_65-148	AY451173.1_148-231	carna	1.000	1.000	1.000	1.000	1.000
AE008848.1_13783-13922	AP003361.3_30261-30389	carna	0.000	0.000	0.000	0.000	-0.029
AY494950.1_597-710	M32660.1_1111-1224	carna	0.921	0.921	0.921	0.920	0.920
AL162754.2_59297-59394	AE014954.1_5814-5899	carna	0.714	0.714	0.714	0.704	0.704
AE010126.1_9583-9877	AC002512.1_76041-75744	carna	0.000	0.000	0.000	0.000	-0.014
AY679786.1_1293-1344	AF484514.1_1293-1344	carna	1.000	1.000	1.000	1.000	1.000
AE015942.1_58651-58542	AF264021.1_2226-2360	carna	0.241	0.241	0.241	0.225	0.225
AF484481.1_59-142	AF067158.1_232-315	carna	1.000	1.000	1.000	1.000	1.000
AF004309.1_87-160	M68929.1_15170-15243	carna	0.000	0.000	0.000	0.000	-0.036
AF395810.1_1102-1215	Y07588.1_172-285	carna	0.225	0.231	0.228	0.214	0.214
AY145958.1_1-213	L38349.1_3-288	carna	0.000	0.000	0.000	0.000	-0.009
AF024218.1_90-141	AF190128.1_1415-1466	carna	1.000	1.000	1.000	1.000	1.000
AF239642.1_405-461	AF385934.1_9591-9647	carna	1.000	1.000	1.000	1.000	1.000
AB001488.1_62222-62293	J01478.1_118-188	carna	1.000	1.000	1.000	1.000	1.000
AF005494.1_1413-1464	AF349347.1_33-84	carna	1.000	1.000	1.000	1.000	1.000
AE017007.1_181315-181066	AE017033.1_110729-110493	carna	0.851	0.887	0.869	0.868	0.868
AF239622.1_517-615	AF254737.1_526-624	carna	0.724	0.677	0.701	0.694	0.694
Z79570.1_65-148	U56355.1_8-91	carna	0.737	0.700	0.718	0.713	0.713
U39694.1_9296-9392	X05525.1_1-116	carna	0.696	0.727	0.711	0.704	0.704
AY181076.1_46-97	U46016.1_1456-1507	carna	1.000	1.000	1.000	1.000	1.000
BX571861.1_7126-7022	AE017013.1_198598-198699	carna	0.000	0.000	0.000	0.000	-0.024
AF165056.1_1-379	Z84281.1_1-249	carna	0.640	0.671	0.656	0.653	0.653
AE004237.1_2976-2903	AC008443.10_8240-8321	carna	0.000	0.000	0.000	0.000	-0.033
AB097873.1_8937-8993	AF239647.1_394-449	carna	1.000	1.000	1.000	1.000	1.000
AY008717.1_1277-1328	AY519044.1_46-97	carna	1.000	1.000	1.000	1.000	1.000
X56006.1_1-72	X99772.1_9544-9611	carna	0.000	0.000	0.000	0.000	-0.039
M19493.1_340-412	AB035923.1_6106-6178	carna	1.000	1.000	1.000	1.000	1.000
D00625.1_4443-4503	AY056701.1_4247-4307	carna	1.000	1.000	1.000	1.000	1.000
K00462.1_57-128	X61061.1_74-147	carna	1.000	1.000	1.000	1.000	1.000
AY145959.1_1-216	AF057154.1_1-237	carna	0.000	0.000	0.000	0.000	-0.009
AE012997.1_6989-7110	AE013857.1_9631-9778	carna	0.347	0.472	0.410	0.384	0.384
AF084771.1_65-148	AF084714.1_65-148	carna	0.000	0.000	0.000	0.000	-0.017
AF158725.1_345-497	AF403508.1_235-389	carna	0.592	0.659	0.625	0.620	0.620
AF083069.1_7313-7433	AF465517.1_7298-7418	carna	1.000	1.000	1.000	1.000	1.000
M31831.1_60-156	D49784.1_399-501	carna	0.000	0.000	0.000	0.000	-0.024
X52392.1_9016-9083	K00281.1_1-72	carna	0.955	1.000	0.977	0.976	0.976
X01570.1_1-119	M32450.1_1-119	carna	1.000	1.000	1.000	1.000	1.000
M34759.1_7-109	D10529.1_1-121	carna	0.781	0.806	0.794	0.788	0.788
AJ131147.1_1719-1794	X04465.1_101010-100933	carna	0.000	0.000	0.000	0.000	-0.037
K01392.1_4435-4495	AJ132961.1_4445-4505	carna	1.000	1.000	1.000	1.000	1.000
Z84229.1_1-250	AF041278.1_1-191	carna	0.367	0.338	0.353	0.346	0.346
AF207759.1_1-379	AY190400.1_1-181	carna	0.656	0.656	0.656	0.652	0.652
Z34533.1_38786-39082	Z29101.1_1-302	carna	0.068	0.075	0.071	0.060	0.060
M20958.1_1-80	X53649.1_495-566	carna	0.409	0.429	0.419	0.403	0.403
M18171.1_1-119	D13620.1_3-119	carna	0.732	0.732	0.732	0.725	0.725
M76575.1_4-118	X03905.1_4-117	carna	0.400	0.412	0.406	0.395	0.395
AF499640.1_390-641	D00538.1_387-638	carna	0.792	0.772	0.782	0.781	0.781
L27169.1_1-121	M18170.1_1-119	carna	0.737	0.757	0.747	0.741	0.741
AY519075.1_46-97	AY519055.1_46-97	carna	1.000	1.000	1.000	1.000	1.000
AF024203.1_90-141	AJ535022.1_23-74	carna	1.000	1.000	1.000	1.000	1.000
X15917.1_6364-6435	X57593.1_241-312	carna	1.000	1.000	1.000	1.000	1.000
AE008809.1_3263-3335	X12890.1_1972-2045	carna	1.000	1.000	1.000	1.000	1.000
AL833575.1_1110-1179	X58295.1_1384-1453	carna	0.000	0.000	0.000	0.000	-0.046
X12857.1_421-494	AE005629.1_6992-7073	carna	0.478	0.478	0.478	0.461	0.461
AY371127.1_59-142	Z97096.1_19-102	carna	1.000	1.000	1.000	1.000	1.000
AL831748.7_183565-183511	AL954363.27_44194-44140	carna	1.000	1.000	1.000	1.000	1.000
AC009461.5_128651-128579	X62566.1_248-320	carna	0.000	0.000	0.000	0.000	-0.034
X61068.1_961-1034	AC006449.19_196857-196784	carna	1.000	1.000	1.000	1.000	1.000
X62862.1_2-123	X62865.1_3-123	carna	1.000	1.000	1.000	1.000	1.000
AF081485.1_394-644	AB081345.1_266-518	carna	0.797	0.818	0.808	0.806	0.806
AJ276698.1_65-148	AF281682.1_65-148	carna	1.000	1.000	1.000	1.000	1.000
AF200837.1_6039-6103	L07095.1_2676-2750	carna	0.826	0.864	0.845	0.837	0.837
Z99121.2_6040-5861	AP004598.1_253855-254037	carna	0.000	0.000	0.000	0.000	-0.014
D90457.1_396-647	AJ295195.1_354-605	carna	0.000	0.000	0.000	0.000	-0.007
U18089.1_3485-3600	M16171.1_3-119	carna	0.395	0.395	0.395	0.382	0.382
U51767.1_1-224	Z77071.1_1-197	carna	0.000	0.000	0.000	0.000	-0.009
M10364.1_2-118	AF331021.1_183-301	carna	0.000	0.000	0.000	0.000	-0.025
AF506647.1_1-238	Z84275.1_1-250	carna	0.912	0.954	0.933	0.932	0.932
D16558.1_6715-6832	X05524.1_5-117	carna	0.649	0.632	0.640	0.631	0.631
AF088897.1_10366-10481	AJ251080.1_1-117	carna	0.000	0.000	0.000	0.000	-0.020
AF095839.1_1586-1389	M14625.1_332-488	carna	0.386	0.459	0.423	0.415	0.415
K00784.1_2-107	X52528.1_449-551	carna	0.966	0.966	0.966	0.965	0.965
AY190445.1_1-181	D14305.1_1-327	carna	0.000	0.000	0.000	0.000	-0.010
Z76043.1_36-119	AY451234.1_148-231	carna	1.000	1.000	1.000	1.000	1.000
AY206656.1_65-148	AB081211.1_65-148	carna	1.000	1.000	1.000	1.000	1.000
M76569.1_4-118	X52297.1_1-116	carna	0.447	0.447	0.447	0.436	0.436
AF207760.1_9306-9342	D14306.1_1043-1079	carna	1.000	1.000	1.000	1.000	1.000
X78865.1_2-193	U23386.1_2-306	carna	0.000	0.000	0.000	0.000	-0.008
X04305.1_1-118	X13037.1_1-119	carna	1.000	1.000	1.000	1.000	1.000
M11544.1_4-118	M24954.1_1-119	carna	0.634	0.684	0.659	0.650	0.650
AE017272.1_195611-195716	AE009471.1_6144-5974	carna	0.758	0.862	0.810	0.803	0.803
AJ131595.1_3-115	Z11820.1_5-112	carna	0.500	0.548	0.524	0.513	0.513
AF055303.1_1-240	AJ006313.1_1-205	carna	0.684	0.661	0.673	0.669	0.669
AL021918.1_54817-54736	X16750.1_2-74	carna	0.429	0.429	0.429	0.411	0.411
AF241527.2_359-424	AF021345.1_10097-10160	carna	0.000	0.000	0.000	0.000	-0.039
X12631.1_8405-8475	X61061.1_74-147	carna	0.000	0.000	0.000	0.000	-0.041
AY140155.1_1176-1225	AY206657.1_1299-1350	carna	1.000	1.000	1.000	1.000	1.000
M87833.1_2781-2865	X52392.1_5025-5096	carna	0.478	0.478	0.478	0.447	0.447
X55320.1_1-72	D11467.1_1-72	carna	1.000	1.000	1.000	1.000	1.000
D00548.1_191-271	X03126.1_244-324	carna	0.304	0.292	0.298	0.276	0.276
AJ006327.1_1-227	AJ438628.1_1-250	carna	0.000	0.000	0.000	0.000	-0.009
AY070196.1_1-277	AJ438621.1_1-250	carna	0.809	0.809	0.809	0.807	0.807
AF462419.1_4444-4504	AJ295172.1_4347-4407	carna	1.000	1.000	1.000	1.000	1.000
X71389.1_882-907	X04488.1_1128-1153	carna	1.000	1.000	1.000	1.000	1.000
AY434127.1_2-197	D14853.1_1-391	carna	0.484	0.449	0.467	0.461	0.461
AB031322.1_1663-1713	D86530.1_983-1033	carna	1.000	1.000	1.000	1.000	1.000
AF156817.1_45-96	AF024295.1_120-171	carna	1.000	1.000	1.000	1.000	1.000
Z99110.2_200192-200316	AP004603.1_147738-147633	carna	0.000	0.000	0.000	0.000	-0.022
X76008.1_2709-2772	AF274027.1_835-900	carna	1.000	1.000	1.000	1.000	1.000
J04815.1_2041-2109	J01404.1_5140-5204	carna	1.000	1.000	1.000	1.000	1.000
